flow_count,flow_total_mean_us,flow_total_std_us,flow_total_min_us,flow_total_max_us,flow_track_mean_us,flow_track_std_us,flow_track_min_us,flow_track_max_us,frame_dt_mean_us,frame_dt_std_us,frame_dt_min_us,frame_dt_max_us,selected_mean,selected_std,accepted_mean,accepted_std,photometric_error_mean_milli,photometric_error_std_milli,photometric_error_min_milli,photometric_error_max_milli,valid_sectors_mean,valid_sectors_std,cnn_count,cnn_mean_us,cnn_std_us,cnn_min_us,cnn_max_us
424,16992,239,14954,17303,10814,225,8881,11078,65009,7232,33325,66681,26,1,14,4,3030,2249,820,11559,6,1,424,50621,238,48554,50903
451,17182,80,16754,17334,10979,70,10559,11078,64920,7669,24537,90362,26,0,19,3,4977,1985,997,11946,7,1,451,50720,91,50385,50965
